delivery_id,driver_id,delivery_distance_meters,delivery_status
68441781,8266,2825,DELIVERED
68441807,25575,4255,DELIVERED
68441810,13117,2392,DELIVERED
68441870,28169,5066,DELIVERED
68441965,14511,1157,DELIVERED
68442124,13527,1523,DELIVERED
68442190,22499,522,DELIVERED
68442202,17749,3023,DELIVERED
68442223,12893,3774,DELIVERED
68442501,29451,2510,DELIVERED
68442828,9828,734,DELIVERED
68442941,25651,4024,DELIVERED
68442954,21454,2046,DELIVERED
68442959,26075,1641,DELIVERED
68443456,21454,2079,DELIVERED
68443463,9600,692,DELIVERED
68443528,425,388,DELIVERED
68444027,30550,2632,DELIVERED
68444038,28171,516,DELIVERED
68444111,10200,3448,DELIVERED
68444148,5315,843,DELIVERED
68444436,7953,222,DELIVERED
68444591,7953,2839,DELIVERED
68444599,7953,2270,DELIVERED
68444687,7953,1365,DELIVERED
68444850,430,843,DELIVERED
68444862,7953,2104,DELIVERED
68445065,6361,4184,DELIVERED
68445199,24997,1541,DELIVERED
68445497,17322,3130,DELIVERED
68445702,10832,207,DELIVERED
68445800,17322,3176,DELIVERED
68445893,23399,2112,DELIVERED
68446071,23399,2934,DELIVERED
68446266,6662,1757,DELIVERED
68446350,6161,2417,DELIVERED
68446409,20223,2444,DELIVERED
68446638,28165,2702,DELIVERED
68446946,1395,2051,DELIVERED
68447028,0,5460,CANCELLED
68447320,9211,1270,DELIVERED
68447423,29077,3811,DELIVERED
68447692,726,335,DELIVERED
68447904,26442,3533,DELIVERED
68447989,512,3287,DELIVERED
68448064,22499,1447,DELIVERED
68448156,1113,451,DELIVERED
68448347,0,530,CANCELLED
68448397,16496,3525,DELIVERED
68448483,19793,3051,DELIVERED
68448484,26785,3262,DELIVERED
68448661,8266,3099,DELIVERED
68448693,26588,1431,DELIVERED
68448694,5250,995,DELIVERED
68448704,9025,5460,DELIVERED
68449067,15898,5765,DELIVERED
68449158,5052,4617,DELIVERED
68449164,9043,2944,DELIVERED
68449165,7396,2040,DELIVERED
68449192,27700,383,DELIVERED
68449298,2473,288,DELIVERED
68449304,6675,759,DELIVERED
68449372,25651,2849,DELIVERED
68449555,25651,3771,DELIVERED
68449782,25588,1309,DELIVERED
68450493,6161,447,DELIVERED
68450634,888,1748,DELIVERED
68450871,11887,4471,DELIVERED
68451036,25651,4696,DELIVERED
68451076,26251,1637,DELIVERED
68451149,731,4696,DELIVERED
68451258,7995,676,DELIVERED
68451358,5628,2743,DELIVERED
68451505,10514,5987,DELIVERED
68451584,8958,1498,DELIVERED
68451632,0,5574,CANCELLED
68451743,8940,2276,DELIVERED
68451777,10259,802,DELIVERED
68451887,17227,4011,DELIVERED
68451894,7638,2423,DELIVERED
68451967,9828,4168,DELIVERED
68452050,30030,691,DELIVERED
68452051,21454,1847,DELIVERED
68452052,31061,3944,DELIVERED
68452054,12023,339,DELIVERED
68452175,888,1615,DELIVERED
68452246,25409,2535,DELIVERED
68452247,15661,926,DELIVERED
68452287,10560,1666,DELIVERED
68452361,7280,487,DELIVERED
68452362,13117,1461,DELIVERED
68452425,5435,4145,DELIVERED
68452447,0,2769,CANCELLED
68452451,938,627,DELIVERED
68452452,4190,2514,DELIVERED
68452454,4190,2514,DELIVERED
68452479,2905,1199,DELIVERED
68452508,31126,2006,DELIVERED
68453108,20495,5703,DELIVERED
68453149,1395,5657,DELIVERED
68453186,22260,1023,DELIVERED
68453262,2945,2024,DELIVERED
68453305,14382,697,DELIVERED
68453598,8378,3249,DELIVERED
68453600,8378,3693,DELIVERED
68453961,14382,1304,DELIVERED
68453999,0,694,CANCELLED
68454205,31126,2264,DELIVERED
68454307,25651,818,DELIVERED
68454369,9996,428,DELIVERED
68454481,29378,1626,DELIVERED
68454488,4977,466,DELIVERED
68454515,4977,153,DELIVERED
68454552,25651,4555,DELIVERED
68454767,4937,2042,DELIVERED
68454768,6165,1523,DELIVERED
68455169,12731,2452,DELIVERED
68455270,512,1114,DELIVERED
68455272,15561,2636,DELIVERED
68455353,5128,3126,DELIVERED
68455763,319,2146,DELIVERED
68456004,22901,4127,DELIVERED
68456156,3834,1076,DELIVERED
68456270,11263,4537,DELIVERED
68456331,26879,4499,DELIVERED
68456344,24584,2324,DELIVERED
68456347,22115,3300,DELIVERED
68456909,6161,1975,DELIVERED
68456996,510,1956,DELIVERED
68457071,24571,709,DELIVERED
68457114,24571,1455,DELIVERED
68457154,5226,1626,DELIVERED
68457214,29979,1826,DELIVERED
68457267,21454,4555,DELIVERED
68457393,28169,3514,DELIVERED
68457422,6656,2969,DELIVERED
68457470,21454,447,DELIVERED
68457717,25651,3121,DELIVERED
68457718,358,1837,DELIVERED
68457722,10514,729,DELIVERED
68457787,29979,4336,DELIVERED
68458232,30854,2315,DELIVERED
68458284,7615,2553,DELIVERED
68458664,10514,3733,DELIVERED
68458710,14702,4753,DELIVERED
68458833,17289,4830,DELIVERED
68458971,17322,1489,DELIVERED
68459049,28165,2625,DELIVERED
68459178,17749,5337,DELIVERED
68459220,17322,653,DELIVERED
68459306,10200,2954,DELIVERED
68459647,16430,3560,DELIVERED
68459661,6662,4931,DELIVERED
68459982,25651,4793,DELIVERED
68460164,13111,671,DELIVERED
68460223,7655,2608,DELIVERED
68460278,5052,3313,DELIVERED
68460376,7995,2826,DELIVERED
68460384,29077,1107,DELIVERED
68460440,28913,2856,DELIVERED
68460539,17227,2556,DELIVERED
68460544,29669,5837,DELIVERED
68461004,425,1780,DELIVERED
68461058,25689,1728,DELIVERED
68461139,5623,248,DELIVERED
68461215,5435,4273,DELIVERED
68461493,26319,4165,DELIVERED
68461568,0,4234,CANCELLED
68461581,12136,1426,DELIVERED
68461612,25651,1066,DELIVERED
68461637,25651,1680,DELIVERED
68461688,25651,1555,DELIVERED
68461936,25651,2261,DELIVERED
68462093,25651,1970,DELIVERED
68462099,9025,1702,DELIVERED
68462102,12893,4872,DELIVERED
68462133,10614,4767,DELIVERED
68462267,11887,1680,DELIVERED
68462314,1113,896,DELIVERED
68462324,26251,1292,DELIVERED
68462325,1113,1747,DELIVERED
68462758,12077,600,DELIVERED
68462845,888,4406,DELIVERED
68462846,26075,4691,DELIVERED
68462949,25798,1578,DELIVERED
68462957,24997,1713,DELIVERED
68463065,2355,638,DELIVERED
68463108,6161,4336,DELIVERED
68463109,18862,1491,DELIVERED
68463202,22260,1276,DELIVERED
68463387,25651,227,DELIVERED
68463388,1405,699,DELIVERED
68463612,8266,5082,DELIVERED
68463631,24571,4262,DELIVERED
68463752,5628,3651,DELIVERED
68463805,15375,3387,DELIVERED
68463903,1395,1965,DELIVERED
68463984,25409,1667,DELIVERED
68463992,6974,2743,DELIVERED
68464135,22115,1959,DELIVERED
68464291,8266,3877,DELIVERED
68464303,9828,5508,DELIVERED
68464304,30030,1391,DELIVERED
68464416,4190,5133,DELIVERED
68464417,7974,1031,DELIVERED
68464418,6974,1754,DELIVERED
68464454,731,3776,DELIVERED
68464492,731,5303,DELIVERED
68464554,24830,288,DELIVERED
68464570,358,1011,DELIVERED
68464650,9996,2207,DELIVERED
68464727,13527,1679,DELIVERED
68464806,29186,1038,DELIVERED
68464953,13527,6095,DELIVERED
68464981,2490,3952,DELIVERED
68464984,15834,1836,DELIVERED
68465031,4190,4024,DELIVERED
68465084,4190,2958,DELIVERED
68465137,4977,383,DELIVERED
68465139,28171,1811,DELIVERED
68465368,13527,2235,DELIVERED
68465593,4190,3169,DELIVERED
68465604,24715,1827,DELIVERED
68465626,28913,4441,DELIVERED
68465683,23093,970,DELIVERED
68465692,14757,4864,DELIVERED
68465722,22260,997,DELIVERED
68465795,22260,467,DELIVERED
68465908,31061,2556,DELIVERED
68465968,11887,1874,DELIVERED
68466108,512,1559,DELIVERED
68466202,726,1555,DELIVERED
68466335,25651,3585,DELIVERED
68466707,15061,3202,DELIVERED
68466754,28165,3306,DELIVERED
68466804,28165,4699,DELIVERED
68466880,11263,1867,DELIVERED
68466984,25651,1627,DELIVERED
68467005,25651,441,DELIVERED
68467008,25651,1959,DELIVERED
68467361,25651,2935,DELIVERED
68467594,7615,2511,DELIVERED
68467597,17227,2444,DELIVERED
68467601,0,2135,CANCELLED
68467605,16430,4948,DELIVERED
68467656,0,4808,CANCELLED
68467873,8266,2878,DELIVERED
68468306,14511,5287,DELIVERED
68468523,888,1485,DELIVERED
68468560,19793,5223,DELIVERED
68468914,11263,2467,DELIVERED
68468998,26879,5781,DELIVERED
68469266,30244,4916,DELIVERED
68469494,25409,2659,DELIVERED
68469540,5435,1694,DELIVERED
68469541,30879,1136,DELIVERED
68469643,357,1780,DELIVERED
68469930,23399,698,DELIVERED
68469938,14702,2074,DELIVERED
68470373,29979,3585,DELIVERED
68470384,6161,4691,DELIVERED
68470436,14382,2935,DELIVERED
68470448,14382,441,DELIVERED
68470461,13117,1487,DELIVERED
68470483,358,2111,DELIVERED
68470822,731,4406,DELIVERED
68470961,12731,709,DELIVERED
68471180,319,2215,DELIVERED
68471231,15375,2884,DELIVERED
68471445,4977,1058,DELIVERED
68471498,11887,2489,DELIVERED
68471499,9025,3740,DELIVERED
68471507,3478,367,DELIVERED
68471508,7953,441,DELIVERED
68471643,7953,1627,DELIVERED
68471753,2490,2135,DELIVERED
68471785,7953,1305,DELIVERED
68472317,1395,420,DELIVERED
68472585,1395,568,DELIVERED
68472836,0,3771,CANCELLED
68472872,1113,3421,DELIVERED
68473169,28913,1562,DELIVERED
68473268,12023,867,DELIVERED
68473404,17227,5508,DELIVERED
68473759,28913,1971,DELIVERED
68473855,31061,4518,DELIVERED
68474116,31132,4683,DELIVERED
68474212,9043,2365,DELIVERED
68474446,2473,1221,DELIVERED
68474611,7258,1487,DELIVERED
68474719,2061,975,DELIVERED
68474758,2905,822,DELIVERED
68474769,17322,1959,DELIVERED
68474853,358,2311,DELIVERED
68475082,7280,975,DELIVERED
68475170,7258,1232,DELIVERED
68475205,567,573,DELIVERED
68475271,0,3121,CANCELLED
68475405,11263,4259,DELIVERED
68475584,357,3653,DELIVERED
68475643,8378,4602,DELIVERED
68475728,9043,3240,DELIVERED
68475736,5052,2084,DELIVERED
68475894,6656,4026,DELIVERED
68475901,11263,722,DELIVERED
68475990,25651,2868,DELIVERED
68475996,0,2849,CANCELLED
68475999,15061,2884,DELIVERED
68476080,11869,4718,DELIVERED
68476139,6974,1564,DELIVERED
68476173,15061,3975,DELIVERED
68476278,28169,400,DELIVERED
68476438,7655,1211,DELIVERED
68476555,23092,1185,DELIVERED
68476859,0,1047,CANCELLED
68477257,0,1555,CANCELLED
68477258,9996,1463,DELIVERED
68477372,25651,230,DELIVERED
68477577,24997,176,DELIVERED
68477593,9509,1491,DELIVERED
68477798,7468,2465,DELIVERED
68478064,31055,1248,DELIVERED
68478454,0,1066,CANCELLED
68478614,23399,2688,DELIVERED
68479033,888,2582,DELIVERED
68479078,0,4207,CANCELLED
68479233,17703,1177,DELIVERED
68479271,28165,6370,DELIVERED
68479324,29186,1219,DELIVERED
68479348,2355,2657,DELIVERED
68479509,5226,437,DELIVERED
68479590,13117,1463,DELIVERED
68479592,22217,1619,DELIVERED
68479631,1395,4076,DELIVERED
68479787,25409,486,DELIVERED
68479925,16430,3982,DELIVERED
68480121,16430,4867,DELIVERED
68480124,5226,1208,DELIVERED
68480496,25651,782,DELIVERED
68480601,5628,2097,DELIVERED
68481257,5435,1678,DELIVERED
68481478,17227,782,DELIVERED
68481970,7280,487,DELIVERED
68482005,2333,625,DELIVERED
68482035,8958,2680,DELIVERED
68482136,8958,4566,DELIVERED
68482225,8266,2748,DELIVERED
68482242,5052,3143,DELIVERED
68482277,12023,1130,DELIVERED
68482359,6675,1309,DELIVERED
68482388,25092,2409,DELIVERED
68482470,20223,1632,DELIVERED
68482706,28913,3977,DELIVERED
68482866,7468,4672,DELIVERED
68482996,14702,3080,DELIVERED
68483068,0,1680,CANCELLED
68483086,19215,1084,DELIVERED
68483169,26879,4348,DELIVERED
68483713,358,3462,DELIVERED
68483781,25651,2150,DELIVERED
68483840,23399,3134,DELIVERED
68483843,23399,2150,DELIVERED
68483938,4190,4376,DELIVERED
68484185,7615,1909,DELIVERED
68484186,4190,3522,DELIVERED
68484257,17322,472,DELIVERED
68484269,25651,4074,DELIVERED
68484295,17322,445,DELIVERED
68484313,28169,5053,DELIVERED
68484314,9043,4074,DELIVERED
68484423,24715,1926,DELIVERED
68484572,14059,1211,DELIVERED
68484573,17227,3626,DELIVERED
68484730,9043,2430,DELIVERED
68484842,2905,1283,DELIVERED
68484921,3834,1065,DELIVERED
68485291,7953,2461,DELIVERED
68485460,2837,1403,DELIVERED
68485923,14382,3165,DELIVERED
68485953,14382,2420,DELIVERED
68486130,26588,937,DELIVERED
68486197,29669,1152,DELIVERED
68486448,0,2261,CANCELLED
68486469,29815,1519,DELIVERED
68487049,430,245,DELIVERED
68487124,14382,2728,DELIVERED
68487304,7953,1275,DELIVERED
68487317,17907,4959,DELIVERED
68487327,28165,1913,DELIVERED
68487883,17289,5834,DELIVERED
68488118,20495,1909,DELIVERED
68488447,0,4793,CANCELLED
68488583,2490,2639,DELIVERED
68488826,731,1847,DELIVERED
68489170,15231,1081,DELIVERED
68489350,7953,787,DELIVERED
68489753,0,1970,CANCELLED
68490127,1113,2383,DELIVERED
68490156,24550,2394,DELIVERED
68490264,26223,3509,DELIVERED
68490282,26223,2868,DELIVERED
68490746,25651,3771,DELIVERED
68490751,5052,3771,DELIVERED
68490898,28217,1211,DELIVERED
68491367,25651,4699,DELIVERED
68491371,27294,2504,DELIVERED
68491950,12136,1702,DELIVERED
68492000,29979,1747,DELIVERED
68492280,17749,3042,DELIVERED
68493359,29341,2732,DELIVERED
68493384,27294,4699,DELIVERED
68493525,25651,5124,DELIVERED
68494009,888,447,DELIVERED
68494074,25651,3636,DELIVERED
68494526,1113,559,DELIVERED
68494630,6662,919,DELIVERED
68494752,726,557,DELIVERED
68494786,12023,2228,DELIVERED
68494803,23399,5124,DELIVERED
68494925,7280,503,DELIVERED
68494978,29966,3636,DELIVERED
68495102,7258,1468,DELIVERED
68495173,31126,4054,DELIVERED
68495340,14702,1961,DELIVERED
68495519,29966,4963,DELIVERED
68495691,10614,2499,DELIVERED
68495696,1395,3802,DELIVERED
68495930,6974,5208,DELIVERED
68496272,29077,5840,DELIVERED
68496273,29077,6491,DELIVERED
68496519,29077,4806,DELIVERED
68496784,28755,1398,DELIVERED
68497141,25651,1835,DELIVERED
68497143,5300,1532,DELIVERED
68497877,20223,1835,DELIVERED
68498011,25588,6118,DELIVERED
68498116,5623,4621,DELIVERED
68498710,512,2179,DELIVERED
68498746,17703,1550,DELIVERED
68499019,25651,3245,DELIVERED
68500346,12136,2213,DELIVERED
68500443,123,4734,DELIVERED
68500500,16180,1259,DELIVERED
68500865,2473,428,DELIVERED
68500949,2837,3829,DELIVERED
68501296,28171,1025,DELIVERED
68501638,938,2020,DELIVERED
68501641,25651,2108,DELIVERED
68501669,14382,1441,DELIVERED
68501773,14382,713,DELIVERED
68501774,0,4087,CANCELLED
68502108,7280,1077,DELIVERED
68502133,7995,1328,DELIVERED
68502136,28072,760,DELIVERED
68502235,9509,4764,DELIVERED
68502637,12731,4035,DELIVERED
68502838,9996,917,DELIVERED
68503063,2061,840,DELIVERED
68503221,27736,1528,DELIVERED
68503345,677,5561,DELIVERED
68503376,22217,1989,DELIVERED
68503506,25651,409,DELIVERED
68503571,25651,2253,DELIVERED
68503851,17703,1131,DELIVERED
68503888,29815,1531,DELIVERED
68504054,7615,2945,DELIVERED
68504076,18862,4377,DELIVERED
68504223,13117,764,DELIVERED
68504333,888,2582,DELIVERED
68504597,30854,2275,DELIVERED
68505205,20223,1593,DELIVERED
68505307,13527,3802,DELIVERED
68505310,25651,1027,DELIVERED
68505353,25651,2564,DELIVERED
68505432,2905,2195,DELIVERED
68505583,8378,4382,DELIVERED
68506311,22499,930,DELIVERED
68506358,17322,3245,DELIVERED
68506905,25798,3780,DELIVERED
68507029,26223,2324,DELIVERED
68507363,7773,1945,DELIVERED
68507510,902,1857,DELIVERED
68507720,8940,74,DELIVERED
68507794,11941,499,DELIVERED
68508062,25409,1761,DELIVERED
68508087,25651,387,DELIVERED
68508615,7396,518,DELIVERED
68508715,378,769,DELIVERED
68508737,0,2959,CANCELLED
68508907,24997,1903,DELIVERED
68508960,4190,387,DELIVERED
68509236,11263,4157,DELIVERED
68509241,15086,3186,DELIVERED
68509270,7258,1309,DELIVERED
68509303,23399,3447,DELIVERED
68509517,666,2687,DELIVERED
68509521,7953,381,DELIVERED
68509526,12132,830,DELIVERED
68509697,15061,1947,DELIVERED
68510176,19708,3914,DELIVERED
68510250,20495,1665,DELIVERED
68510409,28165,3645,DELIVERED
68510421,28217,1309,DELIVERED
68510898,31132,3682,DELIVERED
68510957,26666,7222,DELIVERED
68511048,25651,2347,DELIVERED
68511241,333,2687,DELIVERED
68511320,1374,1160,DELIVERED
68511353,24478,2279,DELIVERED
68511483,22499,1365,DELIVERED
68511745,10614,642,DELIVERED
68511949,29669,3529,DELIVERED
68512001,28633,5183,DELIVERED
68512150,24715,1762,DELIVERED
68512352,15898,4937,DELIVERED
68512549,1405,1925,DELIVERED
68512601,4536,140,DELIVERED
68512677,10927,2356,DELIVERED
68513034,5402,1400,DELIVERED
68513139,2490,2178,DELIVERED
68513328,28165,2514,DELIVERED
68513655,16180,1027,DELIVERED
68513787,5300,1520,DELIVERED
68513847,5008,1286,DELIVERED
68514142,22115,2035,DELIVERED
68514347,7767,3045,DELIVERED
68515253,378,3468,DELIVERED
68515335,4536,2021,DELIVERED
68515492,4536,1249,DELIVERED
68515540,7773,1536,DELIVERED
68515677,28180,2228,DELIVERED
68515705,25689,6522,DELIVERED
68515719,29966,2059,DELIVERED
68515934,9043,3506,DELIVERED
68516039,29341,2257,DELIVERED
68516127,12023,847,DELIVERED
68516224,512,2920,DELIVERED
68516556,14702,3681,DELIVERED
68516664,28755,3346,DELIVERED
68516856,1395,2259,DELIVERED
68516950,18791,1985,DELIVERED
68517026,13074,1876,DELIVERED
68517054,902,2090,DELIVERED
68517197,16430,1428,DELIVERED
68517298,13117,547,DELIVERED
68517590,13117,745,DELIVERED
68517670,731,1758,DELIVERED
68517671,6974,2019,DELIVERED
68517785,25651,5395,DELIVERED
68517851,10927,2655,DELIVERED
68517922,938,1624,DELIVERED
68517953,358,3775,DELIVERED
68517960,6656,2559,DELIVERED
68518102,532,994,DELIVERED
68518147,8710,711,DELIVERED
68518213,15086,513,DELIVERED
68518476,25651,3217,DELIVERED
68518486,8378,2994,DELIVERED
68518624,20223,1043,DELIVERED
68518696,25651,2451,DELIVERED
68518740,6089,1632,DELIVERED
68518779,6161,1439,DELIVERED
68518953,888,1735,DELIVERED
68518974,3478,477,DELIVERED
68519110,25588,4858,DELIVERED
68519229,12077,5840,DELIVERED
68519242,1374,5395,DELIVERED
68519368,922,1011,DELIVERED
68519425,378,1766,DELIVERED
68519696,14617,789,DELIVERED
68519936,9509,1895,DELIVERED
68520104,4937,3217,DELIVERED
68520179,5250,1228,DELIVERED
68520264,14617,862,DELIVERED
68520333,17703,1913,DELIVERED
68520503,17703,675,DELIVERED
68520568,378,1775,DELIVERED
